LAT;DUMMY;;;;;;;;;
LONG;DUMMY;;;;;;;;;
;Temperatura do Ar [°C];Radiação Solar [W/m2];Vapor Press Deficit [kPa];Umidade Relativa [%];Precipitação [mm];Molhamento Foliar [min];Velocidade do vento max [m/s];Painel Solar [mV];Bateria [mV];
Data/Hora;méd;méd;méd;méd;soma;time;máx;últ;últ;Evapotranspiração Diária [mm]
2020-07-09 14:00:00;20,84;622;1,31;46,42;0;0;3,3;10185;6764;
2020-07-09 13:00:00;20,16;663;1,2;48,83;0;0;3,2;10098;6764;
2020-07-09 12:00:00;18,09;625;0,8;61,33;0;0;3,5;10103;6764;
2020-07-09 11:00:00;16,65;554;0,51;72,64;0;0;2,8;10161;6767;
2020-07-09 10:00:00;13,7;410;0,19;87,28;0;0;1,8;10079;6764;
2020-07-09 09:00:00;10,62;182;0;99,24;0;0;0,9;10027;6767;
2020-07-09 08:00:00;9,27;50;0;99,25;0;15;1,8;9499;6761;
2020-07-09 07:00:00;9,3;0;0;99,24;0;60;2,3;1155;6420;
2020-07-09 06:00:00;9,87;0;0;99,23;0;60;2;0;6431;
2020-07-09 05:00:00;10,74;0;0;98,99;0;15;1,7;0;6440;
2020-07-09 04:00:00;11,34;0;0,04;95,99;0;0;2,2;0;6448;
2020-07-09 03:00:00;12,69;0;0,13;90,79;0;0;3,7;0;6462;
2020-07-09 02:00:00;14,23;0;0,18;88,67;0;0;4,6;0;6462;
2020-07-09 01:00:00;16,04;0;0,12;92,8;0;0;4,2;0;6477;
2020-07-09 00:00:00;16,64;0;0,04;97,41;0;0;2,3;0;6482;1,7
2020-07-08 23:00:00;17,12;0;0,12;93,22;0;0;2,8;0;6494;
2020-07-08 22:00:00;17,56;0;0,2;89,47;0;0;3,8;0;6488;
2020-07-08 21:00:00;17,48;0;0,24;87,35;0;0;1,5;0;6491;
2020-07-08 20:00:00;17,61;0;0,29;85,32;0;0;2,5;0;6491;
2020-07-08 19:00:00;18,29;0;0,42;79,82;0;0;3;0;6496;
2020-07-08 18:00:00;19,18;0;0,61;72,27;0;0;4,7;0;6496;
2020-07-08 17:00:00;20,14;21;0,81;65,05;0;0;4,1;1711;6556;
2020-07-08 16:00:00;20,83;61;0,96;60,58;0;0;3,8;6863;6724;
2020-07-08 15:00:00;21,94;109;1,1;57,84;0;0;5,8;7683;6730;
2020-07-08 14:00:00;23,58;267;1,36;52,97;0;0;5,8;9562;6753;
2020-07-08 13:00:00;23,79;246;1,48;49,45;0;0;7,9;9025;6744;
2020-07-08 12:00:00;23,91;518;1,37;53,67;0;0;3,5;9499;6744;
2020-07-08 11:00:00;21,2;512;0,92;63,75;0;0;2,2;9744;6756;
2020-07-08 10:00:00;17,47;350;0,49;75,79;0;0;1,5;9964;6761;
2020-07-08 09:00:00;14,58;166;0,13;91,57;0;0;1,3;9797;6761;
2020-07-08 08:00:00;12,61;39;0,01;99,18;0;20;1,3;9135;6759;
2020-07-08 07:00:00;11,91;0;0;99,26;0;60;1,4;929;6411;
2020-07-08 06:00:00;12,31;0;0,01;99,19;0;60;0,8;0;6422;
2020-07-08 05:00:00;13,69;0;0,08;94,83;0;35;1,7;0;6434;
2020-07-08 04:00:00;13;0;0,01;99,26;0;60;0,9;0;6448;
2020-07-08 03:00:00;13,3;0;0,01;99,26;0;60;1,3;0;6459;
2020-07-08 02:00:00;14,1;0;0,01;99,12;0;50;1,6;0;6468;
2020-07-08 01:00:00;15,37;0;0,04;97,29;0;0;0,9;0;6474;
2020-07-08 00:00:00;16,35;0;0,16;90,74;0;0;1;0;6477;2,6
2020-07-07 23:00:00;17,05;0;0,24;87,46;0;0;0,7;0;6482;
2020-07-07 22:00:00;17,64;0;0,36;81,79;0;0;1,2;0;6485;
2020-07-07 21:00:00;19,69;0;0,75;68,08;0;0;2,5;0;6494;
2020-07-07 20:00:00;21,16;0;0,96;61,27;0;0;2,8;0;6491;
2020-07-07 19:00:00;21,54;0;0,99;60,99;0;0;3,1;0;6499;
2020-07-07 18:00:00;23,66;16;1,38;52,71;0;0;3,3;0;6534;
2020-07-07 17:00:00;25,81;128;1,78;46,05;0;0;4,7;9360;6756;
2020-07-07 16:00:00;26,86;309;1,91;45,76;0;0;5,9;10051;6759;
2020-07-07 15:00:00;26,79;449;1,77;49,4;0;0;5,7;10098;6761;
2020-07-07 14:00:00;25,99;555;1,5;55,14;0;0;5,2;10094;6767;
2020-07-07 13:00:00;24,88;600;1,3;58,33;0;0;5,1;10146;6767;
2020-07-07 12:00:00;23,11;569;0,85;69,64;0;0;4;10017;6764;
2020-07-07 11:00:00;21,24;535;0,47;81,28;0;0;3,8;9969;6767;
2020-07-07 10:00:00;18,89;313;0,12;94,07;0;0;5,2;9993;6770;
2020-07-07 09:00:00;17,39;122;0,01;99,22;0;0;2,5;6973;6699;
2020-07-07 08:00:00;16,56;15;0,01;99,25;0;45;1,5;6700;6499;
2020-07-07 07:00:00;16,37;0;0,01;99,25;0;60;1,2;0;6442;
2020-07-07 06:00:00;16,49;0;0,01;99,23;0;35;3,1;0;6448;
2020-07-07 05:00:00;16,53;0;0,01;99,24;0;55;3,2;0;6459;
2020-07-07 04:00:00;16,72;0;0,01;99,23;0;55;3,5;0;6471;
2020-07-07 03:00:00;16,79;0;0,01;99,23;0;50;2,9;0;6474;
2020-07-07 02:00:00;17;0;0,01;99,22;0;50;3,4;0;6471;
2020-07-07 01:00:00;17,09;0;0,01;99,23;0;50;3,8;0;6479;
2020-07-07 00:00:00;17,52;0;0,01;98,84;0;35;2,9;0;6485;1,6
2020-07-06 23:00:00;18,26;0;0,08;95,79;0;0;2,8;0;6491;
2020-07-06 22:00:00;18,48;0;0,12;93,62;0;0;1,6;0;6488;
2020-07-06 21:00:00;19,19;0;0,2;90,42;0;0;1,3;0;6485;
2020-07-06 20:00:00;19,55;0;0,24;88,84;0;0;0,9;0;6488;
2020-07-06 19:00:00;20,41;0;0,33;85,81;0;0;1,3;0;6496;
2020-07-06 18:00:00;21,06;0;0,41;83,22;0;0;1,3;0;6505;
2020-07-06 17:00:00;22,28;23;0,65;75,48;0;0;1,3;1644;6556;
2020-07-06 16:00:00;23,51;86;0,96;66,76;0;0;1;7577;6724;
2020-07-06 15:00:00;24,67;193;1,33;56,76;0;0;3,1;8066;6744;
2020-07-06 14:00:00;24,93;428;1,38;55,87;0;0;3,7;10003;6767;
2020-07-06 13:00:00;24,66;614;1,28;58,4;0;0;3,7;10022;6756;
2020-07-06 12:00:00;22,4;482;0,87;67,5;0;0;2,3;10146;6764;
2020-07-06 11:00:00;19,71;378;0,33;85,51;0;0;2,4;10012;6764;
2020-07-06 10:00:00;17,4;161;0,02;98,4;0;0;1,2;7870;6736;
2020-07-06 09:00:00;16,49;86;0,01;99,25;0;20;0;6959;6690;
2020-07-06 08:00:00;15,09;11;0,01;99,26;0;0;0,6;6767;6525;
2020-07-06 07:00:00;15,12;0;0,01;99,26;0;0;0,9;963;6431;
2020-07-06 06:00:00;14,61;0;0,01;99,27;0;0;1,3;0;6445;
2020-07-06 05:00:00;14,85;0;0,01;99,26;0;0;2;0;6451;
2020-07-06 04:00:00;15,6;0;0,01;99,25;0;15;2,4;0;6457;
2020-07-06 03:00:00;14,7;0;0,01;99,27;0;40;2,7;0;6465;
2020-07-06 02:00:00;15,61;0;0,01;99,26;0;0;0,6;0;6474;
2020-07-06 01:00:00;15,86;0;0,01;99,25;0;0;0,3;0;6482;
2020-07-06 00:00:00;16,05;0;0,01;99,25;0;0;0,8;0;6479;1,3
2020-07-05 23:00:00;16,22;0;0,01;99,25;0;0;0,5;0;6482;
2020-07-05 22:00:00;16,81;0;0,01;98,93;0;0;0,8;0;6491;
2020-07-05 21:00:00;17,68;0;0,08;95,32;0;0;0;0;6505;
2020-07-05 20:00:00;18,24;0;0,19;90,31;0;0;1;0;6496;
2020-07-05 19:00:00;19,36;0;0,39;82,3;0;0;1,1;0;6499;
2020-07-05 18:00:00;20,48;4;0,59;75,24;0;0;1;0;6522;
2020-07-05 17:00:00;21,7;80;0,74;71,37;0;10;1,3;7472;6730;
2020-07-05 16:00:00;22,78;172;0,97;64,8;0;0;1,3;9308;6753;
2020-07-05 15:00:00;22,63;163;1,04;61,87;0;0;1,8;9720;6756;
2020-07-05 14:00:00;22,66;365;1,1;59,62;0;0;2,9;9519;6747;
2020-07-05 13:00:00;21,42;376;0,89;64,7;0;0;1,9;10055;6761;
2020-07-05 12:00:00;20,07;318;0,72;69,04;0;0;1,5;9763;6753;
2020-07-05 11:00:00;19,06;292;0,62;71,77;0;0;1,6;8296;6744;
2020-07-05 10:00:00;16,49;230;0,29;84,05;0;0;1,4;9336;6759;
2020-07-05 09:00:00;13,87;73;0,13;91,37;0;0;1,5;6949;6679;
2020-07-05 08:00:00;12,83;32;0,1;92,5;0;0;1,7;6595;6622;
2020-07-05 07:00:00;12,19;0;0,08;93,44;0;0;2,1;570;6417;
2020-07-05 06:00:00;12,66;0;0,1;92,83;0;0;1,3;0;6414;
2020-07-05 05:00:00;11,55;0;0,02;97,69;0;0;2,4;0;6417;
2020-07-05 04:00:00;10,5;0;0;99,21;0;0;1,6;0;6420;
2020-07-05 03:00:00;10,3;0;0;99,22;0;0;0,7;0;6431;
2020-07-05 02:00:00;10,23;0;0;99,22;0;0;0,9;0;6440;
2020-07-05 01:00:00;10,72;0;0,04;95,76;0;0;1,5;0;6457;
2020-07-05 00:00:00;12,69;0;0,16;88,67;0;0;1,6;0;6471;1,6
2020-07-04 23:00:00;12,1;0;0,04;96,46;0;0;2,1;0;6485;
2020-07-04 22:00:00;12,64;0;0,04;96,45;0;0;0,9;0;6488;
2020-07-04 21:00:00;13,09;0;0,02;97,87;0;0;1;0;6494;
2020-07-04 20:00:00;14,3;0;0,16;89,61;0;0;1,8;0;6499;
2020-07-04 19:00:00;17,01;0;0,53;72,25;0;0;1,2;0;6499;
2020-07-04 18:00:00;18,83;7;0,85;60,33;0;0;0,9;0;6539;
2020-07-04 17:00:00;20,69;147;1,11;54,24;0;0;1,2;9868;6759;
2020-07-04 16:00:00;21,44;331;1,26;50,22;0;0;2,3;9950;6759;
2020-07-04 15:00:00;21,26;484;1,19;52,49;0;0;2,3;10065;6759;
2020-07-04 14:00:00;19,96;596;0,99;57,31;0;0;2,8;9878;6753;
2020-07-04 13:00:00;18,74;640;0,78;63,91;0;0;2,7;10051;6759;
2020-07-04 12:00:00;16,07;621;0,44;75,87;0;0;2,7;10046;6767;
2020-07-04 11:00:00;13,14;492;0,14;90,48;0;0;1,8;10041;6761;
2020-07-04 10:00:00;10,33;146;0;99,23;0;50;1,9;9212;6761;
2020-07-04 09:00:00;9,69;56;0;99,24;0;60;1,8;6935;6670;
2020-07-04 08:00:00;9,28;8;0;99,24;0;60;1,6;5468;6496;
2020-07-04 07:00:00;8,81;0;0;99,25;0;60;1,2;0;6417;
2020-07-04 06:00:00;8,56;0;0;99,25;0;60;1,1;0;6408;
2020-07-04 05:00:00;8,08;0;0;99,25;0;60;1,9;0;6417;
2020-07-04 04:00:00;8,09;0;0;99,25;0;15;1;0;6428;
2020-07-04 03:00:00;7,95;0;0;99,24;0;0;0,8;0;6428;
2020-07-04 02:00:00;7,87;0;0;99,24;0;0;1,6;0;6437;
2020-07-04 01:00:00;7,79;0;0;99,24;0;0;1,5;0;6454;
2020-07-04 00:00:00;8,62;0;0;99,17;0;0;0,8;0;6471;1,6
2020-07-03 23:00:00;9,41;0;0;99,1;0;0;1,2;0;6468;
2020-07-03 22:00:00;9,12;0;0;99,22;0;0;2,3;0;6479;
2020-07-03 21:00:00;10,22;0;0,1;91,18;0;0;1,6;0;6494;
2020-07-03 20:00:00;12,16;0;0,33;76,35;0;0;0,8;0;6491;
2020-07-03 19:00:00;14,46;0;0,66;59,17;0;0;0,7;0;6508;
2020-07-03 18:00:00;14,2;0;0,6;62,14;0;0;0;0;6525;
2020-07-03 17:00:00;17,34;141;0,9;53,91;0;0;1,7;10060;6764;
2020-07-03 16:00:00;17,48;325;0,88;55,54;0;0;2,5;10166;6770;
2020-07-03 15:00:00;17,88;466;0,93;54,05;0;0;2,6;10012;6767;
2020-07-03 14:00:00;17,45;628;0,78;60,42;0,2;0;2,9;10132;6764;
2020-07-03 13:00:00;16,49;715;0,63;65,94;0;0;3,8;10084;6767;
2020-07-03 12:00:00;14,19;445;0,34;78,3;0;0;2,7;10003;6767;
2020-07-03 11:00:00;13,13;518;0,26;82,47;0;0;3;9888;6764;
2020-07-03 10:00:00;10,96;362;0,11;91,01;0;0;2,4;9993;6770;
2020-07-03 09:00:00;8,12;136;0;99,01;0;0;1,2;10046;6770;
2020-07-03 08:00:00;6,8;24;0;99,26;0;0;1,4;6945;6673;
2020-07-03 07:00:00;7,74;0;0;99,27;0;0;2,3;680;6454;
2020-07-03 06:00:00;8,22;0;0;99,26;0;0;1,9;0;6457;
2020-07-03 05:00:00;7,75;0;0;99,26;0;0;2,2;0;6465;
2020-07-03 04:00:00;6,95;0;0;99,25;0;0;2,4;0;6474;
2020-07-03 03:00:00;6,62;0;0;99,23;0;0;1;0;6477;
2020-07-03 02:00:00;7,26;0;0;99,21;0;0;1,5;0;6482;
2020-07-03 01:00:00;7,32;0;0;99,22;0;0;1,3;0;6485;
2020-07-03 00:00:00;7,69;0;0;99,22;0;0;0,9;0;6485;1,5
2020-07-02 23:00:00;8,34;0;0,01;98,06;0;0;1;0;6494;
2020-07-02 22:00:00;8,83;0;0;98,89;0;0;1,6;0;6494;
2020-07-02 21:00:00;9,38;0;0,05;94,87;0;0;1,3;0;6502;
2020-07-02 20:00:00;11,81;0;0,34;75,77;0;0;0,6;0;6505;
2020-07-02 19:00:00;14,01;0;0,6;62,09;0;0;0,7;0;6511;
2020-07-02 18:00:00;15,01;10;0,68;59,56;0;0;1,5;0;6562;
2020-07-02 17:00:00;16,83;147;0,87;54,23;0;0;3,1;10065;6764;
2020-07-02 16:00:00;17,86;331;1,04;48,87;0;0;2,9;10065;6767;
2020-07-02 15:00:00;17,76;490;1,01;49,88;0;0;3,3;10132;6764;
2020-07-02 14:00:00;17,32;595;0,91;53,44;0;0;4,3;10218;6773;
2020-07-02 13:00:00;16,41;636;0,82;55,79;0;0;3;10113;6767;
2020-07-02 12:00:00;14,76;619;0,6;64,13;0;0;2,5;10098;6764;
2020-07-02 11:00:00;12,49;534;0,35;75,43;0;0;2;10132;6767;
2020-07-02 10:00:00;9,46;393;0,11;90,17;0;0;1,7;10103;6773;
2020-07-02 09:00:00;6,42;184;0;99,26;0;35;1,2;10075;6773;
2020-07-02 08:00:00;3,83;33;0;99,26;0;55;0;9940;6776;
2020-07-02 07:00:00;4,17;0;0;99,26;0;60;1;1078;6420;
2020-07-02 06:00:00;4,81;0;0;99,26;0;0;1;0;6428;
2020-07-02 05:00:00;4,48;0;0;99,25;0;0;1;0;6431;
2020-07-02 04:00:00;6,42;0;0;99,26;0;0;1,2;0;6445;
2020-07-02 03:00:00;6,37;0;0;99,25;0;0;1,4;0;6457;
2020-07-02 02:00:00;6,79;0;0;99,24;0;0;0;0;6468;
2020-07-02 01:00:00;7,5;0;0;99,23;0;0;0,8;0;6474;
2020-07-02 00:00:00;7,89;0;0,03;96,64;0;0;1,5;0;6496;2,2
2020-07-01 23:00:00;9,19;0;0,08;92,13;0;0;1;0;6491;
2020-07-01 22:00:00;9,35;0;0,11;89,79;0;0;2,5;0;6505;
2020-07-01 21:00:00;11,51;0;0,32;76,05;0;0;3;0;6502;
2020-07-01 20:00:00;11,61;0;0,3;77,47;0;0;2;0;6505;
2020-07-01 19:00:00;12,76;0;0,38;73,57;0;0;2,8;0;6516;
2020-07-01 18:00:00;14,24;6;0,58;64,37;0;0;3,7;0;6579;
2020-07-01 17:00:00;16,96;141;0,97;49,27;0;0;4,5;10098;6770;
2020-07-01 16:00:00;18,27;328;1,17;43,95;0;0;4,6;10209;6770;
2020-07-01 15:00:00;18,65;490;1,28;40,28;0;0;6,3;10233;6770;
2020-07-01 14:00:00;18,28;600;1,22;41,48;0;0;6,6;10242;6770;
2020-07-01 13:00:00;17,42;646;1,09;44,92;0;0;6,3;10252;6764;
2020-07-01 12:00:00;16,28;626;0,94;48,75;0;0;7,6;10271;6770;
2020-07-01 11:00:00;15,6;543;0,77;55,77;0;0;7,7;10271;6770;
2020-07-01 10:00:00;14,92;393;0,54;67,55;0;55;7,4;10199;6770;
2020-07-01 09:00:00;13,56;211;0,31;79,51;0;60;4,4;10036;6767;
2020-07-01 08:00:00;12,79;18;0,15;89,01;0;60;5,1;6969;6665;
2020-07-01 07:00:00;13,53;0;0,14;90,14;0;60;3,4;0;6440;
2020-07-01 06:00:00;14,63;0;0,09;93,97;0;60;3,1;0;6445;
2020-07-01 05:00:00;16,28;0;0,01;99,26;0;60;3,5;0;6451;
2020-07-01 04:00:00;16,81;0;0,01;99,28;0;60;4,5;0;6454;
2020-07-01 03:00:00;16,6;0;0,01;99,28;0;60;5,9;0;6462;
2020-07-01 02:00:00;15,96;0;0,01;99,28;0,8;60;5;0;6474;
2020-07-01 01:00:00;16;0;0,01;99,28;3,8;60;1,5;0;6471;
2020-07-01 00:00:00;16,04;0;0,01;99,27;2,2;60;2,4;0;6494;2,4
2020-06-30 23:00:00;15,73;0;0,01;99,25;8,4;60;5,2;0;6482;
2020-06-30 22:00:00;15,67;0;0,01;99,25;16;50;8,4;0;6482;
2020-06-30 21:00:00;15,15;0;0,01;99,26;18,2;60;11,4;0;6482;
2020-06-30 20:00:00;19,25;0;0,59;76,09;5,4;20;11;0;6494;
2020-06-30 19:00:00;22,5;0;1,12;58,63;0;0;5,3;0;6499;
2020-06-30 18:00:00;23,39;12;1,25;56,3;0;0;7,5;0;6536;
2020-06-30 17:00:00;24,34;103;1,38;54,25;0;0;10,9;6609;6719;
2020-06-30 16:00:00;24,84;191;1,5;52,05;0;0;10,2;9451;6753;
2020-06-30 15:00:00;24,86;303;1,46;53,28;0;0;11,6;9135;6744;
2020-06-30 14:00:00;24,4;436;1,38;54,65;0;0;9,3;10185;6764;
2020-06-30 13:00:00;24,35;484;1,35;55,36;0;0;8,6;9811;6753;
2020-06-30 12:00:00;22,71;586;0,96;64,88;0;0;7,1;10118;6764;
2020-06-30 11:00:00;20,28;545;0,49;79,77;0;0;6;10185;6764;
2020-06-30 10:00:00;15,3;359;0,01;99,28;0;0;2,1;9830;6759;
2020-06-30 09:00:00;12,95;112;0,01;99,28;0;55;1,2;9648;6759;
2020-06-30 08:00:00;11,7;20;0;99,28;0;35;0,9;6916;6647;
2020-06-30 07:00:00;12,23;0;0,01;99,28;0;0;1;508;6459;
2020-06-30 06:00:00;12,54;0;0,01;99,27;0;0;1,1;0;6465;
2020-06-30 05:00:00;12,89;0;0,01;99,27;0;0;1,1;0;6477;
2020-06-30 04:00:00;13,38;0;0,01;99,26;0;0;1,2;0;6479;
2020-06-30 03:00:00;13,57;0;0,01;99,25;0;0;0,2;0;6488;
2020-06-30 02:00:00;13,93;0;0,01;99,24;0;0;1,6;0;6488;
2020-06-30 01:00:00;13,46;0;0,01;99,23;0;0;1,3;0;6491;
2020-06-30 00:00:00;13,8;0;0,01;99,22;0;0;1,1;0;6494;1,7
2020-06-29 23:00:00;14,07;0;0,01;99,21;0;0;2;0;6494;
2020-06-29 22:00:00;14,75;0;0,01;99,07;0;0;2,5;0;6488;
2020-06-29 21:00:00;15,72;0;0,06;96,37;0;0;3;0;6502;
2020-06-29 20:00:00;17,02;0;0,18;90,21;0;0;3,8;0;6499;
2020-06-29 19:00:00;17,67;0;0,3;84,46;0;0;0,9;0;6508;
2020-06-29 18:00:00;18,47;9;0,4;80,66;0;0;2;0;6556;
2020-06-29 17:00:00;20,72;122;0,7;71,15;0;0;3,3;8675;6739;
2020-06-29 16:00:00;21,28;285;0,81;67,64;0;0;5,3;10022;6761;
2020-06-29 15:00:00;20,94;412;0,77;68,6;0;0;4,3;10194;6767;